2;2078;3916;1309;27;471;5568;269;42291;133;55;7712;4884;29287;7;3809;539;17995;10777;4849;16500;9766;8;5;977;172;4;1294;798;36536
3152;870;0;5;3153;0;0;1;3943;90;0;4032;19;5;3765;0;0;5258;554;48;552;1;0;0;5;0;0;15;18;37
5021;1;857;0;13162;0;0;10519;4205;0;22;1421;3;0;15009;1;145;3063;189;961;2591;0;4;0;21;0;1470;275;212;2514
10103;17;130;23;44344;14;0;57;9543;0;0;11;37;3;6076;0;1;3214;1239;1;5977;36;20;0;4;1;6377;902;581;3834
4031;1341;6501;1571;5010;1493;2374;359;3679;602;1;11026;13230;51327;789;3819;154;31939;55895;35669;18150;5042;0;834;135;4253;7;10808;8791;117949
4687;0;0;0;2642;1512;0;14;3316;0;0;1362;1;4;3880;0;0;3496;128;1;2049;0;1;0;0;0;0;329;508;838
4053;26;0;3;6631;4;47;28;1452;0;0;673;81;2989;2959;0;0;4105;116;650;2124;0;15;0;0;4;0;99;74;564
5508;0;0;1;7138;0;0;2;1246;0;0;48;17;74;4560;0;0;186;1;17;480;0;2;0;30;0;0;226;152;578
1389;920;1936;2126;22420;845;2767;17;847;6;1;25074;2720;17809;3024;1177;821;12842;22470;30571;2;2871;0;961;2;88;1;2235;1345;14601
1501;0;0;0;5808;0;0;0;1;0;0;0;0;0;1903;0;1;0;0;0;1052;0;0;0;0;0;1405;0;0;2
6;0;0;0;19;0;0;79;13;0;0;1;0;0;1;0;0;1;7;0;3;1;0;0;4;2;0;22;25;63
24331;430;56;362;43636;1772;115;78;5437;1;1;10442;179;12;5876;46;1154;260;5418;306;7711;168;5;0;9;1;8591;1268;1432;14088
13397;4785;0;9;21359;4;1;3;6412;0;0;419;5229;90;7029;4724;0;111;106;343;1253;0;0;0;73;0;612;580;631;1426
5273;30;6688;13779;22579;1085;3715;76;3383;63;4;35;46;4760;9244;1;516;243;15295;42545;2570;878;3;13;16;31;3251;3971;3137;29587
7;1941;1282;2527;643;564;230;391;14104;37;0;3824;11417;29907;5;1051;184;15131;3245;3730;39839;110;156;11;1623;0;1;12;26;111
16053;1;34;0;9731;0;0;136;4396;0;0;5493;0;0;10673;2913;0;8013;1755;619;2507;0;0;0;1;0;0;71;58;953
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;23139;0;0;0;0;0;0;5;4;85
16956;1349;2603;4818;48759;185;1233;32;11720;3;34;934;2480;3012;14351;599;1045;5995;8099;7584;2348;992;47;0;567;30;9;3525;3050;25700
11593;1;1745;1;22097;61;54;154;7844;1;2;2;207;15;11272;1763;1472;2;10580;8101;7263;4;0;0;166;0;3977;9224;6411;94629
12781;1;3;1;28777;25;8;1486;7925;0;0;6;24;1;9643;1;0;13707;4013;3554;2337;0;0;3;38;0;694;6445;3925;76905
1892;642;2729;1685;16841;715;769;117;12766;672;78;3162;2608;14174;610;1957;148;25584;17897;12713;0;5190;0;6732;128;58;4738;967;749;15167
10646;0;0;0;13717;0;0;0;5827;0;0;0;0;0;11081;0;0;1364;0;1;579;1;0;0;1;0;0;0;0;7
26;6;0;7;47;0;0;0;40;0;0;1;0;0;3;0;0;0;0;0;5;0;0;0;119;0;0;10;6;18
126;4;104;0;143;0;0;12;165;0;0;0;1;0;1;204;10;0;0;236;5;0;0;0;0;0;1;993;784;5770
1274;4;0;3;1513;0;20;0;13;0;0;163;12;168;158;43;0;17;603;8;3;0;0;0;0;0;1;122;214;2599
144;0;0;0;98;0;56;1;33;0;0;1;1;0;91;0;0;0;0;0;1;6;0;0;0;7;0;258;286;3690
9829;0;14;3;10128;1;0;830;4536;0;0;4;1;4;2612;1;0;0;4;0;2481;0;0;0;672;0;3;1;2;51
1;0;1;2;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;8;1;44674
3;2;6;4;4;0;1;0;0;1;0;3;2;1;0;5;1;0;1;2;0;1;0;0;1;0;1;49;284;33523
38253;11074;33061;64306;46353;16017;9739;5605;16751;10064;49;57336;25396;19175;7487;41291;17043;15532;40249;19793;9967;18157;27;0;2346;26;32;0;0;0
